date,views,videos
2020-04-10,1595,2
2020-04-20,3314,5
2020-04-24,4696,10
2020-04-27,5348,12
2020-04-28,6021,15
2020-04-29,6192,16
2020-04-30,6468,16
2020-05-01,6815,18
2020-05-04,7355,19
2020-05-05,7493,19
2020-05-06,7777,21
2020-05-07,8436,22
2020-05-08,8856,22
2020-05-09,9080,22
2020-05-10,9212,22
2020-05-11,9391,22
2020-05-12,9535,23
2020-05-13,9717,23
2020-05-14,9854,24
2020-05-15,9998,26
2020-05-16,10189,26
2020-05-17,10282,26
2020-05-18,10413,27
2020-05-19,10603,27
2020-05-20,10852,29
2020-05-21,11034,32
2020-05-22,11251,32
2020-05-23,11490,32
2020-05-24,11581,32
2020-05-25,11675,32
2020-05-26,11814,33
2020-05-27,11928,35
2020-05-28,12048,37
2020-05-29,12155,38
2020-05-30,12494,38
2020-05-31,12777,38
2020-06-03,13605,41
2020-06-04,13886,41
2020-06-05,14195,42
2020-06-06,14491,42
2020-06-07,14920,42
2020-06-08,15308,42
2020-06-09,15532,42
2020-06-10,15730,42
2020-06-11,15874,44
2020-06-12,15879,45
2020-06-13,16216,45
2020-06-18,16934,50
2020-06-20,17113,53
2020-06-21,17217,53
2020-06-22,17426,53
2020-06-23,18096,53
2020-06-24,18224,53
2020-06-25,18353,53
2020-06-26,18455,54
2020-06-27,18640,54
2020-06-28,18645,54
2020-06-29,18795,54
2020-06-30,18828,55
2020-07-01,19027,56
2020-07-02,19305,59
2020-07-03,19459,59
2020-07-04,19624,59
2020-07-05,19647,59
2020-07-06,19789,60
2020-07-07,19990,60
2020-07-08,20144,60
2020-07-09,20200,64
2020-07-10,20312,64
2020-07-11,20428,64
2020-07-12,20470,64
2020-07-13,20572,65
2020-07-14,20691,65
2020-07-15,20848,65
2020-07-16,20987,65
2020-07-17,21100,66
2020-07-18,21205,66
2020-07-19,21277,66
2020-07-20,21391,66
2020-07-21,21496,68
2020-07-22,21567,70
2020-07-23,21652,72
2020-07-24,21781,76
2020-07-26,21917,76
2020-07-27,22045,77
2020-07-28,22138,81
2020-07-29,22271,81
2020-07-30,22342,81
2020-07-31,22431,84
2020-08-01,22527,84
2020-08-02,22778,84
2020-08-03,22962,84
2020-08-07,23484,86
2020-08-13,23276,87
2020-08-14,23410,88
2020-08-16,23512,88
2020-08-17,23575,89
2020-08-18,23637,89
2020-08-19,23714,90
2020-08-20,23784,90
2020-08-21,23845,92
2020-08-22,23885,92
2020-08-24,24008,94
2020-08-25,24098,96
2020-08-27,24253,96
2020-08-28,24316,97
2020-08-30,24460,97
2020-08-31,24521,97
2020-09-01,24777,97
2020-09-02,24857,98
2020-09-03,24945,98
2020-09-04,25017,98
2020-09-07,25330,98
2020-09-08,25398,98
2020-09-09,25479,98
2020-09-10,25529,98
2020-09-11,25589,98
2020-09-12,25642,98
2020-09-13,25705,98
2020-09-14,25708,99
2020-09-15,25770,99
2020-09-16,25838,99
2020-09-17,25872,99
2020-09-18,25921,99
2020-09-19,25984,99
2020-09-21,26074,99
2020-09-22,26135,100
2020-09-23,26221,100
2020-09-24,26305,100
2020-09-28,26517,101
2020-09-30,26653,101
2020-10-01,26748,101
2020-10-02,26798,101
2020-10-05,26921,101
2020-10-06,26978,102
2020-10-07,27025,102
2020-10-08,27083,102
2020-10-09,27143,102
2020-10-10,27184,102
2020-10-12,27304,102
2020-10-13,27365,103
2020-10-14,27415,105
2020-10-16,27505,106
2020-10-19,27711,109
2020-10-20,27845,109
2020-10-21,27882,109
2020-10-22,28047,111
2020-10-23,28124,111
2020-11-02,29358,112
2020-11-03,29389,112
2020-11-04,29576,112
2020-11-05,29648,112
2020-11-06,29722,112
2020-11-09,29917,112
2020-11-11,29861,115
2020-11-12,29911,115
2020-11-13,30044,115
2020-11-16,30227,115
